# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 997  of event 'cycles:u'
# Event count (approx.): 974460696
#
# Overhead  Command          Shared Object            Symbol                                    
# ........  ...............  .......................  ..........................................
#
     0.01%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78c5c60
     0.01%  prterun          [unknown]                [k] 0xffffffffb772596b
     0.01%  prterun          libc-2.28.so             [.] __GI_strtoul
     0.01%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7a34110
     0.01%  oshm_get_mr.exe  libc-2.28.so             [.] _IO_str_init_static_internal
     0.01%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78c60d8
     0.01%  oshrun           [unknown]                [k] 0xffffffffb7823273
     0.01%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78d991d
     0.01%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7cd0bcc
     0.01%  oshrun           [unknown]                [k] 0xffffffffb784ffc8
     0.01%  prterun          [unknown]                [k] 0xffffffffb7945248
     0.01%  prterun          libpmix.so.2.13.3        [.] pmix_util_keyval_yylex
     0.01%  prterun          [unknown]                [k] 0xffffffffb7984b86
     0.01%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb799fc26
     0.01%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb797bdd7
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e48b96
     0.00%  prterun          [unknown]                [k] 0xffffffffb78c60ec
     0.00%  prterun          [unknown]                [k] 0xffffffffb797c191
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78c4fa0
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e47601
     0.00%  prterun          [unknown]                [k] 0xffffffffb78c5685
     0.00%  prterun          [unknown]                [k] 0xffffffffb7944850
     0.00%  prterun          [unknown]                [k] 0xffffffffc1717ca7
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb784449f
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78555d0
     0.00%  oshrun           [unknown]                [k] 0xffffffffb7e55467
     0.00%  oshm_get_mr.exe  libc-2.28.so             [.] cfree@GLIBC_2.2.5
     0.00%  prterun          libc-2.28.so             [.] _IO_fread
     0.00%  prterun          libhwloc.so.5.7.6        [.] hwloc_bitmap_only
     0.00%  prterun          libhwloc.so.5.7.6        [.] 0x000000000002ebba
     0.00%  prterun          ld-2.28.so               [.] _dl_map_object
     0.00%  prterun          [unknown]                [k] 0xffffffffb78c6055
     0.00%  oshrun           [unknown]                [k] 0xffffffffb7a1eb11
     0.00%  prterun          [unknown]                [k] 0xffffffffb7ced9ea
     0.00%  oshrun           [unknown]                [k] 0xffffffffb7e65c9d
     0.00%  oshrun           [unknown]                [k] 0xffffffffb780e32d
     0.00%  prterun          [unknown]                [k] 0xffffffffb800001c
     0.00%  oshrun           [unknown]                [k] 0xffffffffb797fed6
     0.00%  prterun          [unknown]                [k] 0xffffffffb78a5773
     0.00%  prterun          [unknown]                [k] 0xffffffffb780d2ad
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78ba66b
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7e55467
     0.00%  prterun          [unknown]                [k] 0xffffffffb78d8e03
     0.00%  prterun          [unknown]                [k] 0xffffffffb7887479
     0.00%  prterun          libhwloc.so.5.7.6        [.] 0x00000000000071b1
     0.00%  prterun          libhwloc.so.5.7.6        [.] 0x00000000000301b0
     0.00%  oshrun           [unknown]                [k] 0xffffffffb797fedd
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb797f465
     0.00%  oshrun           [unknown]                [k] 0xffffffffc0e361c0
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3        [.] pmix_ptl_base_recv_handler
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb780da85
     0.00%  oshrun           [unknown]                [k] 0xffffffffb7921bb9
     0.00%  oshrun           ld-2.28.so               [.] _dl_cache_libcmp
     0.00%  prterun          [unknown]                [k] 0xffffffffc0e5b1f0
     0.00%  prterun          [unknown]                [k] 0xffffffffb78c5a3c
     0.00%  prterun          libc-2.28.so             [.] sched_setaffinity@@GLIBC_2.3.4
     0.00%  prterun          libc-2.28.so             [.] __sched_cpufree
     0.00%  prterun          libpthread-2.28.so       [.] start_thread
     0.00%  prterun          [unknown]                [k] 0xffffffffb784e2ee
     0.00%  srun             [unknown]                [k] 0xffffffffb78444af
     0.00%  srun             [unknown]                [k] 0xffffffffb7855264
     0.00%  srun             libpthread-2.28.so       [.] start_thread
     0.00%  srun             [unknown]                [k] 0xffffffffb77471c5
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb7668165
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb773810b
     0.00%  oshm_get_mr.exe  [unknown]                [k] 0xffffffffb78d8dd7
     0.00%  prterun          libhwloc.so.5.7.6        [.] hwloc_linux_set_tid_cpubind
     0.00%  prterun          libhwloc.so.5.7.6        [.] 0x000000000002eb74
     0.00%  prterun          libhwloc.so.5.7.6        [.] 0x000000000002ec5d
     0.00%  oshrun           [unknown]                [k] 0xffffffffb766ed89
