# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 912193742
#
# Overhead  Command          Shared Object               Symbol                                           
# ........  ...............  ..........................  .................................................
#
     0.01%  srun             ld-2.28.so                  [.] _dl_relocate_object
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c4043
     0.01%  prterun          [unknown]                   [k] 0xffffffffc0d2bd3e
     0.01%  prterun          libc-2.28.so                [.] _int_realloc
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7945220
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78c3c81
     0.01%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] flex128_decode_int
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7886f85
     0.01%  srun             [unknown]                   [k] 0xffffffffb78238f0
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78d514c
     0.01%  prterun          [unknown]                   [k] 0xffffffffb780da85
     0.01%  prterun          ld-2.28.so                  [.] memmove
     0.01%  srun             libc-2.28.so                [.] vfprintf
     0.01%  oshm_get_mr.exe  ld-2.28.so                  [.] _dl_cache_libcmp
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7858b50
     0.01%  prterun          [unknown]                   [k] 0xffffffffb784fcd2
     0.01%  srun             [unknown]                   [k] 0xffffffffb7e55127
     0.01%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb78d8ba0
     0.01%  srun             libslurmfull.so             [.] _find_name_in_env
     0.01%  prterun          ld-2.28.so                  [.] _dl_map_object
     0.01%  prterun          [unknown]                   [k] 0xffffffffb78d6165
     0.01%  prterun          [unknown]                   [k] 0xffffffffb7e64978
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb7835aca
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb79753c0
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffb797fedd
     0.00%  prterun          [unknown]                   [k] 0xffffffffb78d9111
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7984b30
     0.00%  srun             ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.00%  srun             [unknown]                   [k] 0xffffffffb7984e00
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb8000013
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb785617e
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb784efe3
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7738131
     0.00%  srun             ld-2.28.so                  [.] _dl_fixup
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc08d4a6c
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc0e76c00
     0.00%  prterun          [unknown]                   [k] 0xffffffffb7747d8b
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002eda7
     0.00%  prterun          [unknown]                   [k] 0xffffffffb78d4abb
     0.00%  prterun          ld-2.28.so                  [.] _dl_lookup_symbol_x
     0.00%  prterun          ld-2.28.so                  [.] malloc
     0.00%  srun             libslurmfull.so             [.] 0x0000000000050584
     0.00%  srun             [unknown]                   [k] 0xffffffffb7e685f2
     0.00%  prterun          libpmix.so.2.13.3           [.] pmix_bfrops_base_tma_value_xfer.constprop.111
     0.00%  prterun          [unknown]                   [k] 0xffffffffc08d4060
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78b16dc
     0.00%  oshm_get_mr.exe  libpmix.so.2.13.3           [.] pmix41_bfrops_base_unpack_general_int
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb7a1eb11
     0.00%  oshrun           ld-2.28.so                  [.] _dl_load_cache_lookup
     0.00%  oshrun           [unknown]                   [k] 0xffffffffb78d98f2
     0.00%  oshm_get_mr.exe  [unknown]                   [k] 0xffffffffc1716963
     0.00%  srun             [unknown]                   [k] 0xffffffffb78ba98b
     0.00%  srun             libc-2.28.so                [.] __strncasecmp_l_avx
     0.00%  srun             [unknown]                   [k] 0xffffffffb800001c
     0.00%  oshrun           [unknown]                   [k] 0xffffffffc0e65367
     0.00%  prterun          libhwloc.so.5.7.6           [.] 0x000000000002ecc0
